State,Clinton,Trump,percent_clinton,percent_trump,delta_trump
Alabama,729547,1318255,0.3562585640603926,0.6437414359396074,0.28748287187921484
Alaska,116454,163387,0.4161434528893193,0.5838565471106807,0.16771309422136138
Arizona,1161167,1252401,0.4810997659896054,0.5189002340103945,0.037800468020789124
Arkansas,380494,684872,0.35714862310229534,0.6428513768977047,0.2857027537954093
California,8753792,4483814,0.6612821079581912,0.33871789204180874,-0.32256421591638246
Colorado,1338870,1202484,0.5268333337268244,0.47316666627317566,-0.05366666745364873
Connecticut,897572,673215,0.5714154751726364,0.4285845248273636,-0.14283095034527277
Delaware,235603,185127,0.5599862144368122,0.4400137855631878,-0.11997242887362436
D. C.,282830,12723,0.9569518834185409,0.04304811658145916,-0.9139037668370817
Florida,4504975,4617886,0.4938116452722452,0.5061883547277548,0.012376709455509616
Georgia,1877963,2089104,0.47338827400696787,0.5266117259930322,0.05322345198606432
Hawaii,266891,128847,0.6744133745053545,0.32558662549464545,-0.3488267490107091
Idaho,189765,409055,0.31689823319194416,0.6831017668080558,0.36620353361611163
Illinois,3090729,2146015,0.5902005139071148,0.4097994860928852,-0.18040102781422962
Indiana,1033126,1557286,0.3988269047549193,0.6011730952450807,0.2023461904901614
Iowa,653669,800983,0.4493645215487965,0.5506354784512034,0.1012709569024069
Kansas,427005,671018,0.38888529657393334,0.6111147034260667,0.22222940685213333
Kentucky,628854,1202971,0.34329370982490137,0.6567062901750986,0.31341258035019726
Louisiana,780154,1178638,0.3982832276219221,0.601716772378078,0.20343354475615588
Maine,357735,335593,0.5159679112916253,0.48403208870837466,-0.03193582258325067
Maryland,1677928,943169,0.6401624968476939,0.35983750315230606,-0.2803249936953878
Massachusetts,1995196,1090893,0.646512786896295,0.35348721310370507,-0.2930255737925899
Michigan,2268839,2279543,0.4988233178303845,0.5011766821696155,0.002353364339231001
Minnesota,1367825,1323232,0.508285406069065,0.4917145939309349,-0.01657081213813011
Mississippi,485131,700714,0.4091015267593994,0.5908984732406006,0.1817969464812012
Missouri,1071068,1594511,0.40181439004433933,0.5981856099556606,0.19637121991132128
Montana,177709,279240,0.38890335682975563,0.6110966431702444,0.22219328634048874
Nebraska,284494,495961,0.3645232588682243,0.6354767411317757,0.27095348226355137
Nevada,539260,512058,0.512937094199852,0.487062905800148,-0.025874188399704012
New Hampshire,348526,345790,0.501970284423807,0.49802971557619297,-0.003940568847614012
New Jersey,2148278,1601933,0.5728419014290129,0.4271580985709871,-0.14568380285802585
New Mexico,385234,319667,0.5465079493432411,0.4534920506567589,-0.09301589868648219
New York,4556142,2819557,0.6177234184854886,0.3822765815145114,-0.23544683697097724
North Carolina,2189316,2362631,0.48096254196281285,0.5190374580371871,0.0380749160743743
North Dakota,93758,216794,0.30190757103480254,0.6980924289651974,0.3961848579303949
Ohio,2394169,2841006,0.4573235851714604,0.5426764148285397,0.0853528296570793
Oklahoma,420375,949136,0.30695262761671865,0.6930473723832813,0.38609474476656264
Oregon,1002106,782403,0.5615583894505436,0.43844161054945646,-0.12311677890108713
Pennsylvania,2926441,2970733,0.4962446419250984,0.5037553580749017,0.007510716149803309
Rhode Island,252525,180543,0.5831070409265982,0.41689295907340185,-0.1662140818531963
South Carolina,855373,1155389,0.4253974363947598,0.5746025636052402,0.1492051272104804
South Dakota,117458,227721,0.3402814192056875,0.6597185807943126,0.31943716158862506
Tennessee,870695,1522925,0.3637565695473801,0.6362434304526199,0.27248686090523977
Texas,3877868,4685047,0.45286774422028014,0.5471322557797199,0.09426451155943977
Utah,310676,515231,0.3761634179150921,0.6238365820849079,0.24767316416981577
Vermont,178573,95369,0.6518642632382037,0.34813573676179627,-0.3037285264764074
Virginia,1981473,1769443,0.528263762771547,0.471736237228453,-0.05652752554309398
Washington,1742718,1221747,0.5878693120006476,0.4121306879993523,-0.1757386240012953
West Virginia,188794,489371,0.27838947748704224,0.7216105225129578,0.4432210450259155
Wisconsin,1382536,1405284,0.49592010961970284,0.5040798903802971,0.00815978076059426
Wyoming,55973,174419,0.2429468037084621,0.7570531962915379,0.5141063925830758
